 -0.964286 0
 -0.892857 0
 -0.821429 0
 -0.75 0
 -0.678571 0
 -0.607143 2.42362e+08
 -0.535714 2.79777e+08
 -0.464286 3.98837e+08
 -0.392857 4.80989e+08
 -0.321429 6.42969e+08
 -0.25 7.12831e+08
 -0.178571 8.86792e+08
 -0.107143 1.01037e+09
 -0.0357143 1.11213e+09
 0.0357143 1.23861e+09
 0.107143 1.36867e+09
 0.178571 1.48029e+09
 0.25 1.64004e+09
 0.321429 1.69551e+09
 0.392857 1.91996e+09
 0.464286 2.04949e+09
 0.535714 2.03884e+09
 0.607143 2.08039e+09
 0.678571 2.08825e+09
 0.75 2.0833e+09
 0.821429 2.52086e+09
 0.892857 2.31175e+09
 0.964286 0
 1.03571 0
 1.10714 0
 1.17857 0
 1.25 0
 1.32143 0
 1.39286 0
 1.46429 0
