167.336655042  9.75014308322e-21
181.177867373  4.56394770326e-21
193.471392725  2.75144248898e-21
208.75178923  1.61730231722e-21
225.239033497  1.07886482314e-21
246.410692287  7.38128319614e-22
269.572410832  5.58795303377e-22
294.911247591  4.1246263829e-22
324.869135492  3.20253957723e-22
351.740610144  2.75144248898e-22
388.812519304  2.36388515664e-22
423.892295143  2.08296186381e-22
457.371365376  1.78956407464e-22
507.326222106  1.61730231722e-22
558.861801761  1.49907781079e-22
613.508990883  1.4251026703e-22
675.830905443  1.35477798836e-22
749.646274333  1.35477798836e-22
820.110327064  1.35477798836e-22
906.546338913  1.32092792325e-22
1005.56082891  1.32092792325e-22
1115.3898452  1.35477798836e-22
1237.21456825  1.4251026703e-22
1358.19313268  1.4251026703e-22
1485.85840068  1.53749314035e-22
1642.4613236  1.70125427985e-22
1796.84677881  1.78956407464e-22
1965.74391138  1.93069772888e-22
2172.92465085  2.08296186381e-22
2368.97211816  2.30482185095e-22
2591.64697424  2.4865912186e-22
2825.47276533  2.68269579528e-22
2996.41193038  2.96843451426e-22
